trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
241,False,"{'a': 0.9951915495902282, 'e': 0.08981529457224763}",20,3,24.061087475984927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9951716457592363, 'e': 0.08892161745938634}",20,8,21.63562616807128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9951517423263211, 'e': 0.08803683258237255}",25,15,18.045064416929378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9951318392914745, 'e': 0.0871608514619813}",35,21,24.08805075144726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9951119366546887, 'e': 0.0862935864993705}",20,12,15.788196345472219,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9950920344159556, 'e': 0.08543495096732123}",25,13,24.191601657603393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9950721325752673, 'e': 0.08458485900156469}",20,7,18.16785352285919,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9950522311326158, 'e': 0.08374322559219596}",30,20,19.167118995052768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9950323300879931, 'e': 0.08290996657517266}",25,3,27.03461501805871,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9950124294413912, 'e': 0.0820849986238988}",20,16,9.732318832377059,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.9949925291928025, 'e': 0.08126823924089167}",20,8,11.134780946454025,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.9949726293422185, 'e': 0.08045960674953244}",20,2,-0.8211150579697821,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
253,False,"{'a': 0.9949527298896317, 'e': 0.07965902028589801}",30,23,13.699902501506601,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.9949328308350339, 'e': 0.07886639979067495}",20,5,22.25256460698091,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.9949129321784171, 'e': 0.07808166600115313}",25,10,5.443292113352792,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
256,False,"{'a': 0.9948930339197736, 'e': 0.07730474044329974}",20,5,24.34499148293348,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9948731360590951, 'e': 0.07653554542391151}",20,4,23.085894268246637,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.994853238596374, 'e': 0.07577400402284548}",20,10,6.123566817968483,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.994833341531602, 'e': 0.07502004008532698}",25,7,29.424220944870818,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.9948134448647713, 'e': 0.07427357821433388}",20,6,22.876984109878098,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
