trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.9969047691342154, 'e': 0.21224797382674304}",30,20,19.5910597351874,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9968848310388327, 'e': 0.21013607120076472}",20,5,15.20202123095893,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.996864893342212, 'e': 0.20804518235702046}",30,13,-22.6728109003159,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.9968449560443451, 'e': 0.20597509820488344}",20,16,6.627732291809236,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9968250191452243, 'e': 0.20392561173421342}",30,20,17.078494374016273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9968050826448412, 'e': 0.20189651799465538}",20,1,-1.6830264038416978,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.9967851465431884, 'e': 0.1998876140751445}",20,2,2.1221047978267165,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.9967652108402575, 'e': 0.19789869908361465}",30,11,29.768608589518237,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9967452755360406, 'e': 0.19592957412690934}",25,15,-24.06594071304876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.9967253406305299, 'e': 0.19398004229089189}",25,12,24.97060772862612,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9967054061237173, 'e': 0.19204990862075408}",20,14,12.614728043387109,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9966854720155948, 'e': 0.1901389801015205}",25,7,-13.54017843178101,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.9966655383061545, 'e': 0.1882470656387468}",20,14,9.785936673150008,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9966456049953883, 'e': 0.18637397603940997}",25,7,25.135876521544336,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9966256720832883, 'e': 0.18451952399298926}",25,7,-6.569844680948947,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
170,False,"{'a': 0.9966057395698467, 'e': 0.18268352405273466}",20,10,20.27998791236793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9965858074550553, 'e': 0.1808657926171221}",30,22,14.305300914553506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
